id,manufacturer,source,catalog_id,model,part_num,nsn,uom,expires,delivery,markup,fr_cost,sell_price
,ICX,OEM,12,Agentase Disclosure Spray (Training Kit),907-1110-001,,Ea.,,30-45 Days,,154.4,193
,ICX,OEM,12,Agentase Disclosure Spray (52 Liter cart based refill package),907-1110-010,,Ea.,,30-45 Days,,3300,4125
,ICX,OEM,12,"Hospital Training Kit - HTK (Contains: 20 Agentase CAD Kit training sensors, 2 ea 16 oz simulant)",908-1108-001,,Ea.,,30-45 Days,,374.4,468
,ICX,OEM,12,"Decon Verification Kit - DVK (Contains: 20 Agentase CAD Kit training sensors, 4ea 16oz simulant)",909-1108-001,,Ea.,,30-45 Days,,395.2,494
,ICX,OEM,12,Simulant Bottle (0.5 Liter spray bottle with simulant powder for use with Agentase CAD Kit training sensors),940-1000-001,,Ea.,,30-45 Days,,25.6,32
,ICX,OEM,12,"BioBadge 100
First Responders, bioaerosol sampling. Includes: BioBadge 100 Air Sampler, 5 Collection Kits, Battery charger, User Manual.",BB-100,,Ea.,,30-45 Days,,1921.6,2402
,ICX,OEM,12,BioBadge Collection Kits (Box of 25 - Consumable),BB-0999,,Ea.,,30-45 Days,,600,750
,ICX,OEM,12,BioBadge Battery Charging Adaptor,BB-0796,,Ea.,,30-45 Days,,46.4,58
,ICX,OEM,12,BioBadge 100 Wearable Pouch,BB-PCH,,Ea.,,30-45 Days,,46.4,58
,ICX,OEM,12,"BioBadge 100 Carrying Case (Does not hold kits)
Dimensions: 8 1/4""L x 6 1/16"" W x 3 5/8"" D",BB-PEL,,Ea.,,30-45 Days,,184,230
,ICX,OEM,12,"BioBadge Two Year Extended Warranty
Extended warranty only available at time of original purchase. To purchase an annual service plan for a unit already fielded please contact the factory.",BB-EXW,,Ea.,,30-45 Days,,183.2,229
,ICX,OEM,12,"BioCapture 650
First Responders, bioaerosol sampling
Includes: BioCapture 650 Air Sampler, 2 Collection Cartridges, 2 Lithium ion Batteries, 1 Battery Charger, 1 Charger, 1 Training Cartridge, 1 Pelican Carrying Case, 3 Quick Reference Sheets, 1 User Manual",BC-650,,Ea.,,30-45 Days,,7760,9700
,ICX,OEM,12,BioCapture 650 Collection Cartridges (Box of 6 - Consumable),BCC-10R,,Ea.,,30-45 Days,,329.6,412
,ICX,OEM,12,BioCapture 650 Training Cartridges (Box of 6 - Consumable),BCA-TRC,,Ea.,,30-45 Days,,138.4,173
,ICX,OEM,12,BioCapture 650 Lithium Ion Battery,BCA-BAT,,Ea.,,30-45 Days,,148,185
,ICX,OEM,12,BioCapture 650 Carrying Case with Custom Foam,BCA-PEL,,Ea.,,30-45 Days,,194.4,243
,ICX,OEM,12,BioCapture 650 Battery Charger,BCA-CHR,,Ea.,,30-45 Days,,252,315
,ICX,OEM,12,BioCapture 650 Battery Charger Auto Adaptor,BCA-ACH,,Ea.,,30-45 Days,,113.6,142
,ICX,OEM,12,"BioCapture 650 Two Year Extended Warranty
Extends standard warranty to years two and three
Extended warranties only available at time of original purchase. To purchase an annual service plan for a unit already fielded contact factory.",BCA-EXW,,Ea.,,30-45 Days,,772,965
,ICX,OEM,12,"BioXC 200GX
Facility Security-Indoor Includes: 1- 250 ml Fluid Bag, RS232 Communication and 24 VDC Combination Cord",BXC-200GX,,Ea.,,30-45 Days,,4091.2,5114
,ICX,OEM,12,BioXC Fluid Bag (250 ml Bag),BXCC-250,,Ea.,,30-45 Days,,77.6,97
,ICX,OEM,12,"BioXC Archive Sample Vial
15 ml Vial - Box of 100",BXCA-AV,,Ea.,,30-45 Days,,117.6,147
,ICX,OEM,12,"GeneXpert (Cepheid) with Dell Laptop
Facility Security-Indoor/Outdoor Includes: GX1, Laptop, Barcode Reader, Power and Data Cables with BioThreat Calibration",AS-GX1-LT,,Ea.,,30-45 Days,,25666.4,32083
,ICX,OEM,12,GeneXpert (Cepheid) Single Agent Kit (Box of 10 - Consumable),AS-GX1-1AK,,Ea.,,30-45 Days,,476,595
,ICX,OEM,12,"The Ten? 10 Target Screen Kit
Tests for ten pathogens (Anthrax, Brucella spp, Botulism A, Coxiella, E. coli 0157, Tularemia, Ricin, Salmonella, Smallpox, and Plague) in one pouch. (ITAR controlled)",PATH-ASY-0061,,Ea.,,30-45 Days,,160,200
,ICX,OEM,12,IBAC - Biological Facility Security Monitor for Indoor and Outdoor Applications,SA-IBAC,,Ea.,,30-45 Days,,15901.6,19877
,ICX,OEM,12,"IBAC Calibration Station
Includes: Vial with 5 ml Calibration Solution, Calibration Communicator Software for Windows",IB-CS-01,,Ea.,,30-45 Days,,23394.4,29243
,ICX,OEM,12,IBAC Calibration Station Solution -100 mL,IB-CSS-100,,Ea.,,30-45 Days,,130.4,163
,ICX,OEM,12,"C100 Modular Tactical Collector
Dry Collector - head only, interfaces with IBAC, not stand-alone",C-100,,Ea.,,30-45 Days,,2553.6,3192
,ICX,OEM,12,Optional base accessory for the C100 Modular Tactical Collector for stand-alone use.,C-100-AOB,,Ea.,,30-45 Days,,865.6,1082
,ICX,OEM,12,"C100/C110 Collection Kits
Box of 25 kits, each kit contains one sterile vial and one sterile fluid ampoule ",C-CK-01,,Ea.,,30-45 Days,,172.8,216
,ICX,OEM,12,MailPoint ? Biological Agent Detection - Table Six Feet Long,MP-B-6,,Ea.,,30-45 Days,,34356,42945
,ICX,OEM,12,MailPoint ? Biological Agent Detection - Table Four Feet Long,MP-B-4,,Ea.,,30-45 Days,,32592,40740
,ICX,OEM,12,"GRIFFIN 400 Mobile GC/MS
INCLUDES (1) LTM-GC Column, (1) Laptop with computer Operating System Software License, Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0031,,Ea.,,30-45 Days,,81540,90600
,ICX,OEM,12,"GRIFFIN 450 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) X-Sorber, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0042,,Ea.,,30-45 Days,,107775,119750
,ICX,OEM,12,"BLACK & GREY
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) X-Sorber, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-1XS,,Ea.,,30-45 Days,,115875,128750
,ICX,OEM,12,"BLACK & GREY (NO X-SORBER)
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-1,,Ea.,,30-45 Days,,108405,120450
,ICX,OEM,12,"BLACK
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) X-Sorber, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-2XS,,Ea.,,30-45 Days,,115875,128750
,ICX,OEM,12,"BLACK (NO X-SORBER)
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-2,,Ea.,,30-45 Days,,108405,120450
,ICX,OEM,12,"DESERT TAN
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) X-Sorber, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-3XS,,Ea.,,30-45 Days,,115875,128750
,ICX,OEM,12,"DESERT TAN (NO X-SORBER)
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-3,,Ea.,,30-45 Days,,108405,120450
,ICX,OEM,12,"OLIVE DRAB
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) X-Sorber, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-4XS,,Ea.,,30-45 Days,,115875,128750
,ICX,OEM,12,"OLIVE DRAB (NO X-SORBER)
GRIFFIN 460 Mobile GC/MS with Air Sampling
INCLUDES (1) LTM-GC Column, (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",103-013-0043-4,,Ea.,,30-45 Days,,108405,120450
,ICX,OEM,12,"Additional GRIFFIN X-Sorber 
INCLUDES (1) pelican storage/transport case, (1) full accessory kit     ",103-017-0001,,Ea.,,30-45 Days,,7425,8250
,ICX,OEM,12,"Additional (1) Laptop with computer Operating System Software License,  Griffin System Software Suite (1) License, and NIST 2008 MS Library Bundle (1) License.",241-005-0030,,Ea.,,30-45 Days,,5490,6100
,ICX,OEM,12,Additional Griffin System Software Suite License,101-500-0004,,Ea.,,30-45 Days,,5850,6500
,ICX,OEM,12,2nd Griffin System Software License - Level 2 & 3,101-500-0005,,Ea.,,30-45 Days,,2610,2900
,ICX,OEM,12,"Griffin Installation & Basic Operator Setup - Domestic
Includes 1 Day for On-Site Installation at Customer Location",INSTALLATION,,Ea.,,30-45 Days,,2160,2400
,ICX,OEM,12,"Griffin Training - Domestic or International
Includes 3 Days Training at Domestic ICx Location",TRAIN3D US ICX,,Ea.,,30-45 Days,,3240,3600
,ICX,OEM,12,"Griffin Installation and Training - Domestic
Includes 2 Days for Installation and Training at Customer Location",TRAIN2D US CUS,,Ea.,,30-45 Days,,3240,3600
,ICX,OEM,12,"Griffin Installation and Training - Domestic
Includes 3 Days for Installation and Training at Customer Location",TRAIN3D US CUS,,Ea.,,30-45 Days,,4320,4800
,ICX,OEM,12,"Griffin Installation and Training - International
Includes 3 Days for Installation and Training at Customer Location
Travel and Expenses NOT included.",TRAIN3D INT CUS,,Ea.,,30-45 Days,,7560,8400
,ICX,OEM,12,"Travel & Expenses - International
Customer will be Invoiced for Actual Expenses",PER DIEM,,Ea.,,30-45 Days,,Bill Actual,Bill Actual
,ICX,OEM,12,Griffin Service Contract - Tier 1 - G400/G450/G460 ,SERVK T1 Y2 4XX,,Ea.,,30-45 Days,,9000,10000
,ICX,OEM,12,Griffin Service Contract - Tier 2 - G400/G450/G460 ,SERVK T2 Y2 4XX,,Ea.,,30-45 Days,,11250,12500
,ICX,OEM,12,UPGRADE GRIFFIN CONTRACT G400/450/460 TIER 1-2,SERVK T2 UP 4XX,,Ea.,,30-45 Days,,3150,3500
,ICX,OEM,12,Griffin Service Contract - Tier 3 - G400/G450/G460 ,SERVK T3 Y2 4XX,,Ea.,,30-45 Days,,13500,15000
,ICX,OEM,12,UPGRADE GRIFFIN CONTRACT G400/450/460 TIER 1-3 ,SERVK T3 UP 4XX,,Ea.,,30-45 Days,,5400,6000
,ICX,OEM,12,"Annual Preventative Maintenance - G400/450
Performed at Customer Location by ICx Service Technician ? 2 Day Service Price includes travel, labor, and APM Parts Kit (241-005-0038) needed to complete Maintenance Service",SERV APM G450,,Ea.,,30-45 Days,,6030,6700
,ICX,OEM,12,Spare Parts Kit Year 1 - Griffin 450,241-005-0033,,Ea.,,30-45 Days,,4410,4900
,ICX,OEM,12,Spare Parts Kit Year 1 - Griffin 400,241-005-0036,,Ea.,,30-45 Days,,2835,3150
,ICX,OEM,12,Field Sampling Kit - Griffin ,241-005-0037,,Ea.,,30-45 Days,,5152.5,5725
,ICX,OEM,12,Autosampler Spare Parts Kit - Griffin,241-005-0042 ,,Ea.,,30-45 Days,,2070,2300
,ICX,OEM,12,Griffin Maintenance and Tool Kit,241-005-0032,,Ea.,,30-45 Days,,495,550
,ICX,OEM,12,GC Accessory Kit,241-005-0011,,Ea.,,30-45 Days,,198,220
,ICX,OEM,12,"Sample Tube, X-Sorber 
- uses Tenax TA as the sorbent material, Capped Tube only, no handle assembly included (see 201-017-0005 for handle assy) Stocked, Preferred/Standard",431-101-0003,,Ea.,,30-45 Days,,108,120
,ICX,OEM,12,X-SORBER SAMPLING CAPS (10 pk),100-000-0019,,Ea.,,30-45 Days,,54,60
,ICX,OEM,12,"Preconcentration Tube Air Sampling Module 
- uses Tenax TA as the sorbent material, includes assembly with handle
Stocked, Available Upon Request",201-001-0063,,Ea.,,30-45 Days,,540,600
,ICX,OEM,12,"Preconcentration Tube Air Sampling Module 
- uses Tenax TA and Carboxen 1017 as dual sorbent bed material, includes assembly with handle
Stocked, Preferred/Standard Tube",201-001-0098,,Ea.,,30-45 Days,,585,650
,ICX,OEM,12,Sorbent Tube Cartridge,201-018-0019,,Ea.,,30-45 Days,,585,650
,ICX,OEM,12,"High Purity Hydrogen Generator for use with Griffin Instruments
Uses Ion Exchange Membrane, not Palladium, for hydrogen generation. Only deionized water is required.",100-000-0017,,Ea.,,30-45 Days,,7605,8450
,ICX,OEM,12,H2 Accessory Kit: Deionizer Bag Kit(08-6063) and Silica Gel Replacement (08-6061) -  (08-4702),241-005-0041,,Ea.,,30-45 Days,,315,350
,ICX,OEM,12,Griffin 400/450 Hardigg Case,241-002-0008,,Ea.,,30-45 Days,,2475,2750
,ICX,OEM,12,Purge and Trap,103-026-0001,,Ea.,,30-45 Days,,11250,12500
,ICX,OEM,12,"Model 2t Manual Headspace Sampler for use with Griffin Instruments
Includes quantity 1 - 1mL Syringe and quantity 1 - 2.5mL Syringe",100-000-0018,,Ea.,,30-45 Days,,10665,11850
,ICX,OEM,12,Hamilton 1mL Syringe - for use with Model 2t Manual Headspace Sampler,100-001-0008,,Ea.,,30-45 Days,,135,150
,ICX,OEM,12,Hamilton 2.5 mL Syringe - for use with Model 2t Manual Headspace Sampler,100-001-0009,,Ea.,,30-45 Days,,135,150
,ICX,OEM,12,"Autosampler for use with Griffin Instruments
Includes a 120 position sample tray, 10 ul syringe and start up accessories.",100-000-0012,,Ea.,,30-45 Days,,14085,15650
,ICX,OEM,12,"X-Sorber Adaptor 
Used to connect X-Sorber to tubing for air sampling.",201-001-0097,,Ea.,,30-45 Days,,405,450
,ICX,OEM,12,"Additional DB-5MS, 15m X .18mm X .18um LTM GC Column",201-015-0015,,Ea.,,30-45 Days,,3780,4200
,ICX,OEM,12,"Additional DB-5MS, 30m X .25mm X .25 um LTM GC Column",201-015-0016,,Ea.,,30-45 Days,,3780,4200
,ICX,OEM,12,"ChemSense 600 DSMS
INCLUDES the installation of Griffin System Software Suite (1) License onto on-board Computer.  ",103-000-0010,,Ea.,,30-45 Days,,74475,82750
,ICX,OEM,12,Spare Parts Kit Year 1 - ChemSense 600,241-005-0035,,Ea.,,30-45 Days,,4185,4650
,ICX,OEM,12,"CANISTER, QUANT STANDARD (34L)",431-021-0003,,Ea.,,30-45 Days,,108,120
,ICX,OEM,12,"CANISTER, SOURCE GAS (34L)",431-021-0004,,Ea.,,30-45 Days,,112.5,125
,ICX,OEM,12,"Computer Accessory 600 - Flat Panel Monitor, Keyboard, and Optical Mouse used to operate the on-board computer within the ChemSense 600.",241-005-0031,,Ea.,,30-45 Days,,405,450
,ICX,OEM,12,GDEI Cell,201-001-0094,,Ea.,,30-45 Days,,2115,2350
,ICX,OEM,12,ChemSense Service Contract - Tier 1 - CS600,SERVK T1 Y2 6XX,,Ea.,,30-45 Days,,6120,6800
,ICX,OEM,12,ChemSense Service Contract - Tier 2 - CS600 ,SERVK T2 Y2 6XX,,Ea.,,30-45 Days,,7650,8500
,ICX,OEM,12,UPGRADE CHEMSENSE CONTRACT CS600 TIER 1 TO 2 ,SERVK T2 UP 6XX,,Ea.,,30-45 Days,,2430,2700
,ICX,OEM,12,ChemSense Service Contract - Tier 3 - CS600,SERVK T3 Y2 6XX,,Ea.,,30-45 Days,,9180,10200
,ICX,OEM,12,UPGRADE CHEMSENSE CONTRACT CS600 TIER 1 TO 3 ,SERVK T3 UP 6XX,,Ea.,,30-45 Days,,3960,4400
,ICX,OEM,12,"Digital Spectrometer for 14 pin NaI scintillation detectors with high voltage supply and data transmission via RJ45 Ethernet connector IEEE B335, 10/100 Mbit, Duplex; basic software program winTMCA; Includes PoE Adapter, PoE power supply switch, 14.7' (4.5m) RJ45 Ethernet cable, winTMCA software program, and operating manual.",dsciSPEC,,Ea.,,30-45 Days,,6144,7680
,ICX,OEM,12,"Digital Spectrometer for 14 pin LaBr scintillation detectors with high voltage supply and data transmission via RJ45 Ethernet connector IEEE B335, 10/100 Mbit, Duplex; basic software program winTMCA; Includes PoE Adapter, PoE power supply switch, 14.7' (4.5m) RJ45 Ethernet cable, winTMCA software program, and operating manual.",dsciSPEC-L,,Ea.,,30-45 Days,,6944,8680
,ICX,OEM,12,"Explosive Ordinance Disposal kit containing two (2) model idF-NGH identiFINDERs with ÷15 nCi internal Cs137 source for calibration verification and stabilization.  Includes one (1) carrying case, two (2) belt holsters and wrist straps, two (2) battery chargers, two (2) rechargeable battery packs plus a spare battery pack for non-rechargeable AA batteries (batteries not included), two (2) mini USB interface adapter boxes, two (2) USB to mini USB cables, two (2) RS-232 serial to mini USB cables, two (2) mini to mini USB cables, two (2) copies of winTMCA32 MCA and Transfer software, two (2) sets of operating manuals.",EOD-NGH-NSD,,Ea.,,30-45 Days,,24552,30690
,ICX,OEM,12,"Explosive Ordinance Disposal kit containing two (2) model idF-UL-LGH ultra LaBr identiFINDERs.  Includes one (1) carrying case, two (2) belt holsters and wrist straps, two (2) battery chargers, two (2) rechargeable battery packs plus a spare battery pack for non-rechargeable AA batteries (batteries not included), two (2) mini USB interface adapter boxes, two (2) USB to mini USB cables, two (2) RS-232 serial to mini USB cables, two (2) mini to mini USB cables, two (2) copies of winTMCA32 MCA and Transfer software, two (2) sets of operating manuals.",EOD-UL-LGH,,Ea.,,30-45 Days,,48872,61090
,ICX,OEM,12,"Explosive Ordinance Disposal kit containing two (2) model idF-UL-S-NGH ultra identiFINDERs with ÷3 nCi internal Cs137 source for calibration verification and LED peak stabilization.  Includes one (1) carrying case, two (2) belt holsters and wrist straps, two (2) battery chargers, two (2) rechargeable battery packs plus a spare battery pack for non-rechargeable AA batteries (batteries not included), two (2) mini USB interface adapter boxes, two (2) USB to mini USB cables, two (2) RS-232 serial to mini USB cables, two (2) mini to mini USB cables, two (2) copies of winTMCA32 MCA and Transfer software, two (2) sets of operating manuals.",EOD-UL-S-NGH,,Ea.,,30-45 Days,,30472,38090
,ICX,OEM,12,"Standard identiFINDER with a NaI(TI) detector, GM detector and internal Cs137 source for calibration verification and peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(Tl) detector, sealed GM detector for high doserate situations, ÷15 nCi internal Cs137 source, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), mini USB interface adapter box, USB to mini USB cable, RS-232 Serial to mini USB cable, mini to mini USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF-NG,,Ea.,,30-45 Days,,8796,10995
,ICX,OEM,12,"Standard identiFINDER with a NaI(TI) detector, GM detector, neutron detector with moderator, and internal Cs137 source for calibration verification and peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(Tl) detector, sealed GM detector for high doserate situations, He3 neutron detector with moderator, ÷15 nCi internal Cs137 source, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), mini USB interface adapter box, USB to mini USB cable, RS-232 Serial to mini USB cable, mini to mini USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF-NGH,,Ea.,,30-45 Days,,12396,15495
,ICX,OEM,12,"Basic identiFINDER 2 with a NaI(TI) detector, GM detector and internal Cs137 source for calibration verification and LED peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(TI) detector, sealed GM detector for high doserate situations, ÷15 nCi internal Cs137 source, TFT LCD 64k color, 320 x 240 pixel display, microUSB cable connection, web server to interface with unit for set-up and to retrieve data, internal 12 channel GPS, 10m range Bluetooth? wireless communication, supports reachback via DUN capable cell phone, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), USB interface adapter box, USB to micro USB cable, RS-232 Serial to micro USB cable, micro to micro USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF2-NG,,Ea.,,30-45 Days,,9580,11975
,ICX,OEM,12,"Basic identiFINDER 2 with a NaI(TI) detector, GM detector, neutron detector with moderator, and internal Cs137 source for calibration verification and LED peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(TI) detector, sealed GM detector for high doserate situations, He3 neutron detector with moderator,  ÷15 nCi internal Cs137 source, TFT LCD 64k color, 320 x 240 pixel display, microUSB cable connection, web server to interface with unit for set-up and to retrieve data, internal 12 channel GPS, 10m range Bluetooth? wireless communication, supports reachback via DUN capable cell phone, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), USB interface adapter box, USB to micro USB cable, RS-232 Serial to micro USB cable, micro to micro USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF2-NGH,,Ea.,,30-45 Days,,12980,16225
,ICX,OEM,12,"Ultra identiFINDER 2 with a NaI(TI) detector, GM detector and internal Cs137 source for calibration verification and LED peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(TI) detector, sealed GM detector for high doserate situations, ÷3 nCi internal Cs137 source, LED peak stabilized, TFT LCD 64k color, 320 x 240 pixel display, microUSB cable connection, web server to interface with unit for set-up and to retrieve data, internal 12 channel GPS, 10m range Bluetooth? wireless communication, supports reachback via DUN capable cell phone, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), USB interface adapter box, USB to micro USB cable, RS-232 Serial to micro USB cable, micro to micro USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF2-ULCS-NG,,Ea.,,30-45 Days,,12424,15530
,ICX,OEM,12,"Ultra identiFINDER 2 with a NaI(TI) detector, GM detector, neutron detector with moderator, and internal Cs137 source for calibration verification and LED peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(TI) detector, sealed GM detector for high doserate situations, He3 neutron detector with moderator,  ÷3 nCi internal Cs137 source, LED peak stabilized, TFT LCD 64k color, 320 x 240 pixel display, microUSB cable connection, web server to interface with unit for set-up and to retrieve data, internal 12 channel GPS, 10m range Bluetooth? wireless communication, supports reachback via DUN capable cell phone, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), USB interface adapter box, USB to micro USB cable, RS-232 Serial to micro USB cable, micro to micro USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF2-ULCS-NGH,,Ea.,,30-45 Days,,15824,19780
,ICX,OEM,12,"Ultra identiFINDER 2 with a NaI(TI) detector, GM detector and internal K40 source for calibration verification and LED peak stabilization.  Includes 1.4"" diameter x 2"" (35mm x 51mm) NaI(TI) detector, sealed GM detector for high doserate situations, K40 source for calibration verification, LED peak stabilized, TFT LCD 64k color, 320 x 240 pixel display, microUSB cable connection, web server to interface with unit for set-up and to retrieve data, internal 12 channel GPS, 10m range Bluetooth? wireless communication, supports reachback via DUN capable cell phone, carrying case, belt holster, wrist strap, battery charger, rechargeable battery pack plus a spare battery pack for non-rechargeable AA batteries (batteries not included), USB interface adapter box, USB to micro USB cable, RS-232 Serial to micro USB cable, micro to micro USB cable, winTMCA32 MCA and Transfer software, operating manuals.",idF2-ULK-NG,,Ea.,,30-45 Days,,12424,15530
