id,manufacturer,source,catalog_id,model,part_num,nsn,uom,expires,delivery,markup,fr_cost,sale_price
,Generic,OEM,8,55 Gallon Plastic Bags (75 Per Roll) ,52-209,,Ea.,,30 Days,0.18,26.04,30.73
,Generic,OEM,8,Long Handled Equipment Brush Handles ,3H389,,Ea.,,30 Days,0.18,8.37,9.88
,Generic,OEM,8,Long Handled Equipment Brushes ,3H381,,Ea.,,30 Days,0.18,8.37,9.88
,Draeger Safety Inc.,OEM,8,Airboss Pss 100 Cbrn Approved  ,4047045,,Ea.,,30 Days,0.15,3623.65,4167.2
,Draeger Safety Inc.,OEM,8,"Case, Hard, Transport For Harness And Regulator ",4054929,,Ea.,,30 Days,0.15,73,83.95
,Draeger Safety Inc.,OEM,8,"Spare Bottle, Scba ",4055699,,Ea.,,30 Days,0.15,830.62,955.21
,Draeger Safety Inc.,OEM,8,Civil Defense Simultest (cds) Kit,6400565S,,Ea.,,30 Days,0.15,3322.53,3820.91
,Draeger Safety Inc.,OEM,8,Sulfur Trioxide ,6728781,,Ea.,,30 Days,0.15,75.71,87.07
,Draeger Safety Inc.,OEM,8,"Carbon Disulfide 3/a, 3-95 Ppm  ",8101891,,Ea.,,30 Days,0.15,54.08,62.19
,Draeger Safety Inc.,OEM,8,Parathion (6728461) ,6728461,,Ea.,,30 Days,0.15,88.69,101.99
,Draeger Safety Inc.,OEM,8,Phosgene (8101521) ,8101521,,Ea.,,30 Days,0.15,67.78,77.95
,Draeger Safety Inc.,OEM,8,Propylene Oxide (6728961) ,6728961,,Ea.,,30 Days,0.15,59.13,68
,Draeger Safety Inc.,OEM,8,Sulfuric Acid (6728781) ,6728781,,Ea.,,30 Days,0.15,75.71,87.07
,Draeger Safety Inc.,OEM,8,Sulfur Dioxide (6728491) ,6728491,,Ea.,,30 Days,0.15,49.75,57.21
,Draeger Safety Inc.,OEM,8,Nitric Acid (6728311) ,6728311,,Ea.,,30 Days,0.15,59.85,68.83
,Draeger Safety Inc.,OEM,8,Nitrogen Dioxide (ch30001) ,CH30001,,Ea.,,30 Days,0.15,46.15,53.07
,Draeger Safety Inc.,OEM,8,Hydrogen Fluoride (8103251) ,8103251,,Ea.,,30 Days,0.15,59.85,68.83
,Draeger Safety Inc.,OEM,8,Hydrazine (ch31801) ,CH31801,,Ea.,,30 Days,0.15,59.13,68
,Draeger Safety Inc.,OEM,8,Hydrogen Chloride (ch29501) ,CH29501,,Ea.,,30 Days,0.15,59.49,68.41
,Draeger Safety Inc.,OEM,8,Hydrogen Cyanide (ch25701) ,CH25701,,Ea.,,30 Days,0.15,50.47,58.04
,Draeger Safety Inc.,OEM,8,Fluorine (8101491) ,8101491,,Ea.,,30 Days,0.15,67.78,77.95
,Draeger Safety Inc.,OEM,8,Formaldehyde (6733081) ,6733081,,Ea.,,30 Days,0.15,60.57,69.66
,Draeger Safety Inc.,OEM,8,Acrolein (dimethylsulfide) ,6728451,,Ea.,,30 Days,0.15,59.13,68
,Draeger Safety Inc.,OEM,8,Acrylonitrile (6728591) ,6728591,,Ea.,,30 Days,0.15,49.75,57.21
,Draeger Safety Inc.,OEM,8,Allyl Alcohol (ch29701) ,29701,,Ea.,,30 Days,0.15,50.47,58.04
,Draeger Safety Inc.,OEM,8,Arsine (ch25001) ,25001,,Ea.,,30 Days,0.15,67.78,77.95
,Draeger Safety Inc.,OEM,8,Cyanogen Chloride (ch19801) ,CH19801,,Ea.,,30 Days,0.15,71.74,82.5
,Draeger Safety Inc.,OEM,8,Dimethylamine (6718401) ,6718401,,Ea.,,30 Days,0.15,54.8,63.02
,Draeger Safety Inc.,OEM,8,Ethylene Oxide (6728961) ,6728961,,Ea.,,30 Days,0.15,59.13,68
,Draeger Safety Inc.,OEM,8,Accuro Pump Spare Parts Kit ,6400220,,Ea.,,30 Days,0.15,45.58,52.42
,Draeger Safety Inc.,OEM,8,Ammonia (6733231) ,CH20501,,Ea.,,30 Days,0.15,47.59,54.73
,Draeger Safety Inc.,OEM,8,Cds Training Set I ,8103230,,Ea.,,30 Days,0.15,52.64,60.54
,Draeger Safety Inc.,OEM,8,Cds Training Set V ,8103240,,Ea.,,30 Days,0.15,52.64,60.54
,Draeger Safety Inc.,OEM,8,Quantimeter Spare Parts Kit ,8101005,,Ea.,,30 Days,0.15,52.14,59.96
,Draeger Safety Inc.,OEM,8,"Soft Side Accuro Pump Kit. Includes Accuro-bellows Pump, Deluxe Tube Opener, Spare Parts Kit, Rubber Cap (10 Pack), Allen Wrench, Nylon Transport Case ",4053473,,Ea.,,30 Days,0.15,385.74,443.6
,Draeger Safety Inc.,OEM,8,"Qty 3 Hazmat Set Ii (sulfur Dioxide, Chlorine, Hydrogen Sulfide, Carbon Dioxide, Phosgene) ",8101736,,Ea.,,30 Days,0.15,54.08,62.19
,Draeger Safety Inc.,OEM,8,"Hazmat Set Iii (ketones, Aromatic Hydrocarbons, Alcohols, Aliphatic Hydrocarbons, Chlorinated Hydrocarbons) ",8101770,,Ea.,,30 Days,0.15,54.08,62.19
,Draeger Safety Inc.,OEM,8,Accuro 2000 Deluxe Kit ,4500200,,Ea.,,30 Days,0.15,864.48,994.15
,Draeger Safety Inc.,OEM,8,Accuro Pump ,6400000,,Ea.,,30 Days,0.15,299.22,344.1
,Draeger Safety Inc.,OEM,8,"Qty 3 Hazmat Set I (acid Gases, Hydrocyanic Acid, Carbon Monoxide, Basic Gases, Nitrous Gases) ",8101735,,Ea.,,30 Days,0.15,54.08,62.19
,Draeger Safety Inc.,OEM,8,"Cds Set V (cyanogen Chloride, Thiether, Phosgene, Chlorine, And Phosphoric Acid Ester) (nerve Agents) ",8103200,,Ea.,,30 Days,0.15,188.24,216.48
,Draeger Safety Inc.,OEM,8,"Cds Set I (thioether, Phosgene, Hydrocyanic Acid, Organic Arsenic Compounds And Arsine [lewisite], And Organic Basic Nitrogen Compounds [hn]) ",8103140,,Ea.,,30 Days,0.15,188.24,216.48
,Draeger Safety Inc.,OEM,8,Chlorine (6728411) ,640530,,Ea.,,30 Days,0.15,1390.5,1599.08
,Draeger Safety Inc.,OEM,8,Civil Defense Simultest (cds)/hazmat Kit With Quantimeter 1000 And Charger ,4056528,,Ea.,,30 Days,0.15,5756.42,6619.88
,Drash/Reeves,OEM,8,"4 Light Se, 50w, Overhead Stringable, W/ Hard Carry Case ",1003666,,Ea.,,30 Days,0.15,1125,1293.19
,Drash/Reeves,OEM,8,"Diesel Flash Water Heater W/ Solution Injector, G2 ",RDHW0004,,Ea.,,30 Days,0.15,7537.5,8664.36
,Drash/Reeves,OEM,8,Interior Catch Basin (berm) ,RDCB0001,,Ea.,,30 Days,0.15,624.75,718.15
,Drash/Reeves,OEM,8,"600 Gallon Bladder, Fresh Water ",RDB0034,,Ea.,,30 Days,0.15,1377.75,1583.72
,Drash/Reeves,OEM,8,Usar Decontamination ,RDPK0005,,Ea.,,30 Days,0.15,14349.75,16495.04
,Drash/Reeves,OEM,8,"600 Gallon Bladder, Waste Water ",RDB0004,,Ea.,,30 Days,0.15,1377.75,1583.72
,Drash/Reeves,OEM,8,3-line Shelter System ,RDPK0004,,Ea.,,30 Days,0.15,10109.25,11620.58
,Dupont,OEM,8,"Level A Encapsulated Suit, Tychem Responder Csm (large) ",RC550T-L,,Ea.,,30 Days,0.15,1137.88,1307.99
,Dupont,OEM,8,"Level A Encapsulated Suit, Tychem Responder Csm (medium) ",RC550T-M,,Ea.,,30 Days,0.15,1137.88,1307.99
,Dupont,OEM,8,"Level A Encapsulated Suit, Tychem Responder Csm (small) ",RC550T-S,,Ea.,,30 Days,0.15,1137.88,1307.99
,Dupont,OEM,8,"Level A Encapsulated Suit, Tychem Responder Csm (xl) ",RC550T-XL,,Ea.,,30 Days,0.15,1137.88,1307.99
,Dupont,OEM,8,"Level A Encapsulated Suit, Tychem Responder Csm (xxl) ",RC550T-XXL,,Ea.,,30 Days,0.15,1206.15,1386.47
,Dupont,OEM,8,Tychem Responder Rear Entry (large) ,TK613T-L,,Ea.,,30 Days,0.15,775.03,890.9
,Dupont,OEM,8,"Tychem Cpf3 With Sockboots,(meduim) ; 6 Per Case (replaces C3168t) ",C31286T-M,,Ea.,,30 Days,,0,0
,Dupont,OEM,8,Tychem Cpf3 With Sockboots (large); 6 Per Case (replaces C3168t) ,C31286T-L,,Ea.,,30 Days,,0,0
,Dupont,OEM,8,Tychem Cpf3 With Sockboots (xl); 6 Per Case (replaces C3168t) ,C31286T-XL,,Ea.,,30 Days,,0,0
,Dupont,OEM,8,Tychem Cpf3 With Sockboots (2xl); 6 Per Case (replaces C3168t) ,C31286T-XXL,,Ea.,,30 Days,,0,0
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/o Attached Boots (medium); 2 Per Case ,C3127T-M,,Ea.,,30 Days,0.15,194.31,223.36
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/o Attached Boots (small); 2 Per Case ,C3127T-S,,Ea.,,30 Days,0.15,194.31,223.36
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/o Attached Boots (xl); 2 Per Case ,C3127T-XL,,Ea.,,30 Days,0.15,194.31,223.36
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/o Attached Boots (xxl); 2 Per Case ,C3127T-XXL,,Ea.,,30 Days,0.15,205.98,236.77
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/o Attached Boots (large); 2 Per Case (replaces C4127t) ,LV127T-L,,Ea.,,30 Days,0.15,73.15,84.09
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/o Attached Boots (medium); 2 Per Case (replaces C4127t) ,LV127T-M,,Ea.,,30 Days,0.15,73.15,84.09
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/o Attached Boots (small); 2 Per Case (replaces C4127t) ,LV127T-S,,Ea.,,30 Days,0.15,73.15,84.09
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/o Attached Boots (xl); 2 Per Case (replaces C4127t) ,LV127T-XL,,Ea.,,30 Days,0.15,73.15,84.09
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/o Attached Boots (xxl); 2 Per Case (replaces C4127t) ,LV127T-XXL,,Ea.,,30 Days,0.15,77.54,89.13
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/attached Boots (large); 6 Per Case ,LV128T-L,,Ea.,,30 Days,0.15,95.36,109.62
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/attached Boots (medium); 6 Per Case ,LV128T-M,,Ea.,,30 Days,0.15,95.36,109.62
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/attached Boots (small); 6 Per Case ,LV128T-S,,Ea.,,30 Days,0.15,95.36,109.62
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/attached Boots (xl); 6 Per Case ,LV128T-XL,,Ea.,,30 Days,0.15,95.36,109.62
,Dupont,OEM,8,Level B/c Suit Tychem Cpf-4 W/attached Boots (xxl); 6 Per Case ,LV128T-XXL,,Ea.,,30 Days,0.15,101.08,116.19
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/attached Boots (large); 6 Per Case ,C3122T-L,,Ea.,,30 Days,0.15,211.04,242.59
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/attached Boots (small); 6 Per Case ,C3122T-S,,Ea.,,30 Days,0.15,211.04,242.59
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/attached Boots (xl); 6 Per Case ,C3122T-XL,,Ea.,,30 Days,0.15,211.04,242.59
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/attached Boots (xxl); 6 Per Case ,C3122T-XXL,,Ea.,,30 Days,0.15,223.7,257.14
,Dupont,OEM,8,Level B/c Suit Tychem Cpf3 W/o Attached Boots (large); 2 Per Case ,C3127T-L,,Ea.,,30 Days,0.15,194.31,223.36
,Dupont,OEM,8,"Coveralls, Tyvek, Disposable; Hood, Elastic Face & Wrists, Booties;  Sizes 3x; 25/case; Order By Case",TY122SWHSM002500,,Ea.,,30 Days,0.15,87.47,100.55
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size Sm",BR611TYLSM000100,,Ea.,,30 Days,0.15,333.96,383.89
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size Md",BR611TYLMD000100,,Ea.,,30 Days,0.15,333.96,383.89
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size Lg",BR611TYLLG000100,,Ea.,,30 Days,0.15,333.96,383.89
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size Xl",BR611TYLXL000100,,Ea.,,30 Days,0.15,333.96,383.89
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size 2x",BR611TYL2X000100,,Ea.,,30 Days,0.15,333.96,383.89
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size 3x",BR611TYL3X000100,,Ea.,,30 Days,0.15,354,406.92
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size 4x",BR611TYL4X000100,,Ea.,,30 Days,0.15,382.32,439.48
,Dupont,OEM,8,"Nfpa 1994 Certified Class 2, Rear Entry Level B, Size 5x",BR611TYL5X000100,,Ea.,,30 Days,,0,0
,Generic,OEM,8,"Battery Ba 9759, Energizer, Aaa ",EN92,,Ea.,,30 Days,0.15,1.7,1.95
,Generic,OEM,8,"Battery, Energiger Titanium ""d"", Replaces Ba-3030/u, 2-pack  ",X95RP-2,,Ea.,,30 Days,0.15,7.5,8.62
,Generic,OEM,8,Tarps - 10 X 10 - 12 Mil ,12566-00057,,Ea.,,30 Days,0.15,12,13.79
,Generic,OEM,8,Duct Tape ,63161,,Ea.,,30 Days,0.15,7.09,8.15
,Generic,OEM,8,"Sprayer, Insecticide, 8 Qt",3740-00-NSL-0006,,Ea.,,30 Days,0.15,47.21,54.27
,Generic,OEM,8,"Hammer, Hand, Sledge, 8 Lb",5120-00-251-4489,,Ea.,,30 Days,0.15,63,72.42
,Generic,OEM,8,"Power Strip, 15 Amp, 15 Ft Cord, 10 Outlets",6150-01-NSL-0002,,Ea.,,30 Days,0.15,73.55,84.55
,Generic,OEM,8,"Light, Chemiluminescent, Yellow",6260-01-196-0136,,Ea.,,30 Days,0.15,14.6,16.78
,Generic,OEM,8,"Plugs, Ear, 200/box",6515-00-137-6345,,Ea.,,30 Days,0.15,32.75,37.65
,Generic,OEM,8,"Bracket,vehicle Mount, Fire Extinguisher",1000998,,Ea.,,30 Days,0.15,7.04,8.09
,Generic,OEM,8,"Bag, Plastic, 60 In X 36 In, 200 Bags",8105-01-221-3239,,Ea.,,30 Days,0.15,36.34,41.77
,Generic,OEM,8,"Bag, Plastic, 12 In X 12 In, 1000 Bags",8105-00-837-7757,,Ea.,,30 Days,0.15,71.1,81.73
,Generic,OEM,8,"Collection Kit, Ambient Air",DFU-A-17,,Ea.,,30 Days,0.15,131.29,150.92
,Geomet Technologies,OEM,8,4 Additional Phase Change Packs ,90-630,,Ea.,,30 Days,0.11,92,102.12
,Geomet Technologies,OEM,8,Cool-guard Lite W/ 4 Phase Change Packs ,90-600,,Ea.,,30 Days,0.11,122,135.42
,Geomet Technologies,OEM,8,"Dtaps Nfpa 1994, Class 2 Encapsulating Suit (small) ",10-260-S,,Ea.,,30 Days,0.11,815,904.65
,Geomet Technologies,OEM,8,"Dtaps Nfpa 1994, Class 2 Encapsulating Suit (medium) ",10-260-M,,Ea.,,30 Days,0.11,815,904.65
,Geomet Technologies,OEM,8,"Dtaps Nfpa 1994, Class 2 Encapsulating Suit (large) ",10-260-L,,Ea.,,30 Days,0.11,815,904.65
,Geomet Technologies,OEM,8,"Dtaps Nfpa 1994, Class 2 Encapsulating Suit (xl) ",10-260-XL,,Ea.,,30 Days,0.11,815,904.65
,Geomet Technologies,OEM,8,"Dtaps Nfpa 1994, Class 2 Encapsulating Suit (xxl) ",10-260-XXL,,Ea.,,30 Days,0.11,937,1040.07
,Harger,OEM,8,"Hammer, Slide, Ground Rod",SMGRD58USHGR,,Ea.,,30 Days,0.2,292.17,350.6
,Generic,OEM,8,"Ph Paper, Hydrion, 15 Ft. Roll With Dispenser",6640-00-NSL-0004,,Ea.,,30 Days,0.2,12,14.4
,Generic,OEM,8,Battery Acada Ba-5590a/u ,BA5590A/U,,Ea.,,30 Days,0.2,146.1,175.32
,Generic,OEM,8,Battery Acada Ba-5590b/u ,BA5590B-U,,Ea.,,30 Days,0.2,85.64,102.77
,Generic,OEM,8,"Battery Lithium, Ba5847b/u ",BA5847B-U,,Ea.,,30 Days,0.2,45.54,54.65
,Generic,OEM,8,"Battery, Ba5800a/u ",BA5800A-U,,Ea.,,30 Days,0.2,27.1,32.52
,Generic,OEM,8,"Battery, Dry, Size D, 1.5 Volt (alkaline); 12 Per Pkg.",E95,,Ea.,,30 Days,0.25,9,11.25
,Generic,OEM,8,"Battery, Non-rechargeable, 9 V, (alkaline); 12 Per Pkg.",EN22,,Ea.,,30 Days,0.2,14.04,16.85
,Generic,OEM,8,"Battery, Nonrechargeable, 3.5 Lithium",Ls 14250,,Ea.,,30 Days,0.2,3.12,3.74
,Generic,OEM,8,"Battery, Non-rechargeable, Lithium, 4 Per Pkg",BA5590B/U,,Ea.,,30 Days,0.2,342.56,411.07
,Generic,OEM,8,"Battery, Non-rechargeable, 8 Per Pkg",BA5800A/U,,Ea.,,30 Days,0.2,216.8,260.16
,Hydrion,OEM,8,"Phydrion Ph Paper, 15' Roll W/ Plastic Dispenser",6640-00-NSL-0004,,Ea.,,30 Days,0.2,12,14.4
,Icx,OEM,8,Standard Biocapture 650,BC-650,,Ea.,,30 Days,0.1,7760,8528
,Ihs Janes,OEM,8,"Janes Chem-bio Manual, 2 Of 4",9780710619235,,Ea.,,30 Days,0.2,40,48
,Innotech,OEM,8,"Chemical Detector Kits, M256a1 ",M256A1,,Ea.,,30 Days,0.5,123.5,185.25
,Innotech,OEM,8,M9 Chemical Detection Paper; Roll  ,M9,,Ea.,,30 Days,0.2,26.42,31.7
,Innotech,OEM,8,"Chemical Training Kit, M256a1 ",M256A1 TRAINER,,Ea.,,30 Days,0.5,274,411
,Innotech,OEM,8,"Detector Kit, Chemical Agent, M-256a1",M256A1,,Ea.,,30 Days,0.5,123.5,185.25
,Innotech,OEM,8,"Paper, Chemical Agent Detector, M9",M9,,Ea.,,30 Days,0.12,26.42,29.64
,Kappler,OEM,8,Chem Tape  Case,99402,,Ea.,,30 Days,0.3,412.95,538.78
